cod_postal,tipo,cod_prov,area_m2,centroide_longitud,centroide_latitud,provincia
27127,indio,27,57966276.4124099,-7.390031338672348,43.04933114249457,LUGO
33840,indio,33,316473846.39949083,-6.212316879465645,43.07763608212352,ASTURIAS
49743,indio,49,75151093.99557686,-5.8020543952925685,41.72904791922485,ZAMORA
43425,indio,43,73113525.30862461,1.2528866574708817,41.48291493125703,TARRAGONA
13108,indio,13,188685624.5768067,-4.37755772314763,38.98853736073752,CIUDAD REAL
27372,indio,27,98898132.1766566,-7.733505717786676,43.19316059357686,LUGO
28931,indio,28,878031.0004081279,-3.8631477304230657,40.325063004568456,MADRID
15176,indio,15,11109235.329286851,-8.338184200353645,43.316876315586626,"CORUNA, A"
04712,indio,04,46309954.62068105,-2.8724236590526737,36.75569752146311,ALMERIA
32337,indio,32,78990898.55461448,-6.788915149720133,42.35724693298624,OURENSE
09001,indio,09,78997862.80786577,-3.7361287898044506,42.3406314785731,BURGOS
37863,indio,37,49066348.429570116,-5.495216735239896,40.71809663060422,SALAMANCA
06840,indio,06,263817465.3304655,-6.266155753922056,38.72505526910039,BADAJOZ
38379,indio,38,15840064.414116733,-16.44067987863621,28.439179687856686,SANTA CRUZ DE TENERIFE
25651,indio,25,150322723.18994185,1.1132128024370258,42.167292730663,LLEIDA
24008,indio,24,12137168.94487028,-5.5862952220187605,42.61986483782535,LEON
36969,indio,36,34637796.39633384,-8.786219823074486,42.42677416440388,PONTEVEDRA
30612,indio,30,64879943.49383856,-1.2874033949472348,38.164182798079544,MURCIA
43321,indio,43,12299885.988630965,0.8525321084968189,41.04200201410554,TARRAGONA
28755,indio,28,123372704.99060488,-3.6036996453879873,41.09051922652182,MADRID
16316,indio,16,375868066.1473437,-1.7326140630206204,40.13723364846335,CUENCA
08780,indio,08,10559994.101508342,1.9926714447489724,41.42185897187033,BARCELONA
03013,indio,03,1155617.7921914563,-0.4749231373723506,38.35668517265031,ALICANTE/ALACANT
24339,indio,24,196677511.02511346,-5.346590523056799,42.43719289892293,LEON
33341,indio,33,2861255.3484031335,-5.231061990907032,43.482609108292124,ASTURIAS
24710,indio,24,71866244.30578369,-6.003779790114752,42.470052381125804,LEON
22612,indio,22,167584242.5604145,-0.4083553336912128,42.62187248317299,HUESCA
31713,indio,31,23200954.499354888,-1.4762229340014443,43.16408675163009,"NAVARRA"
44589,indio,44,99713901.79986957,0.03258350552403281,40.86187220028887,TERUEL
12118,indio,12,51546278.77587608,-0.16935759748021506,40.169469537908974,CASTELLON/CASTELLO
36391,indio,36,8439733.242756903,-8.796785960637546,42.160062986631054,PONTEVEDRA
15937,indio,15,58563964.14595784,-8.908826365157651,42.698989863089686,"CORUNA, A"
15113,indio,15,54699755.60994587,-8.851810249911065,43.3133162981174,"CORUNA, A"
09197,indio,09,45625715.88153646,-3.726047119725758,42.40653863027202,BURGOS
09587,indio,09,128586840.3034412,-3.341187139717904,43.12023893378718,BURGOS
48910,indio,48,6944140.257162962,-2.9991288990865823,43.30827568054576,BIZKAIA
46370,indio,46,301482623.8302964,-0.7418198437829874,39.48770477257492,VALENCIA/VALENCIA
21270,indio,21,135117162.00189906,-6.332385385487916,37.959621135504364,HUELVA
13210,indio,13,110100448.89007732,-3.434968687355265,39.21069334230343,CIUDAD REAL
15190,indio,15,9081022.550977089,-8.435876675200376,43.32268078872744,"CORUNA, A"
50295,indio,50,245433709.61880773,-1.349959564558548,41.66960183335401,ZARAGOZA
08445,indio,08,51386575.905505314,2.3375939588262704,41.70271418874887,BARCELONA
27789,indio,27,10508991.86063051,-7.300719820909517,43.587710854882296,LUGO
24234,indio,24,223751468.39352268,-5.633859590228828,42.27666107245189,LEON
15530,indio,15,44403974.11529721,-7.996808459168713,43.61800739389279,"CORUNA, A"
15151,indio,15,190046212.8024053,-9.08823795833628,42.99217325962703,"CORUNA, A"
48200,indio,48,33461041.630448833,-2.6398315032201523,43.17540538541764,BIZKAIA
28035,indio,28,21989871.65781495,-3.735018796669474,40.476232044223686,MADRID
33812,indio,33,252988226.96665865,-6.622975255789383,42.94372598025807,ASTURIAS
